First Name  Last Name    Country  Score   W/L   # Words Found   # Words Added to Dict
      Test     Player     Narnia     -2     L               0                       0
      Test     Player     Narnia      0     T               0                       0
      Test     Player     Narnia      0     W               0                       0
      Test     Player     Narnia      0     L               0                       0
      Test     Player     Narnia     -4     L               0                       0
      Test     Player     Narnia     -2     L               0                       0
      Test     Player     Narnia     -1     L               0                       0
      Test     Player     Narnia     -1     L               0                       0
      Test     Player     Narnia     -1     L               0                       0
      Test     Player     Narnia     -4     L               0                       0
      Test     Player     Narnia     -2     L               0                       0
      Test     Player     Narnia     -4     L               0                       0
      Test     Player     Narnia     -1     L               0                       0
      Test     Player     Narnia      0     W               0                       0
